Card类型,分类,App名称,AI Action场景,必需数据字段,数据来源/API,开发状态
Type A 状态变更型,CRM,HubSpot,"Update Deal Stage
Update Contact
Log Activity","• Deal ID / Contact ID
• Current Stage
• Target Stage
• Pipeline Options","• GET /deals/:id 获取当前状态
• GET /pipelines 获取 Stage 枚举
• PATCH /deals/:id 更新 Stage
• Context: Agent 需识别 Deal 名称并匹配 ID",-
Type A 状态变更型,CRM,Salesforce,"Update Opportunity
Change Lead Status","• Opportunity ID
• Current Stage
• Target Stage","• GET /sobjects/Opportunity/:id
• PATCH /sobjects/Opportunity/:id
• Stage 枚举来自 Salesforce Schema",-
Type A 状态变更型,项目管理,Linear,"Status Change
Assignee Update
Priority Change","• Issue ID
• Current Status
• Target Status
• Assignee List
• Priority Options","• GET /issue/:id 获取当前状态
• GET /team/:id/states 获取 Status 枚举
• GET /team/:id/members 获取成员列表
• PATCH /issue/:id 更新状态",-
Type A 状态变更型,项目管理,Jira,"Status Transition
Assignee Update
Priority Change","• Issue Key
• Current Status
• Target Status
• Transition ID
• User List","• GET /issue/:key
• GET /issue/:key/transitions 获取可用转换
• GET /user/search 搜索用户
• POST /issue/:key/transitions",-
Type A 状态变更型,即时通讯 - Work IM,Slack,"Send Message
Update Message
Reply in Thread","• Channel ID / DM ID
• Message Text
• Thread TS (for replies)
• User/Channel List
• Workspace metadata","• GET /conversations.list 获取频道列表
• GET /users.list 获取用户列表（含 display name, email, role）
• POST /chat.postMessage 发送消息
• Context: Agent 需从对话历史获取 Channel 名称和 Thread context
• 用户通过 display name 或 email 识别",-
Type A 状态变更型,即时通讯 - Work IM,Microsoft Teams,"Send Message
Reply to Thread
Send to Channel","• Channel ID / Chat ID
• Message Text
• Thread ID (for replies)
• User List (from org directory)
• Team metadata","• GET /teams 获取团队列表
• GET /users 获取组织用户列表（含 display name, email, department）
• POST /chats/messages 发送消息
• Context: Agent 需从对话识别收件人并匹配组织目录",-
Type A 状态变更型,即时通讯 - Personal IM,WhatsApp,"Send Message
Send to Contact
Send to Group","• Contact Name
• Phone Number
• Message Text
• Contact ID (optional)
• Group ID (optional)","• GET /contacts 获取联系人列表
• GET /contacts/search 搜索联系人（按名称/号码）
• POST /messages 发送消息
• Context: Agent 需从对话识别收件人名称并匹配电话号码
• 仅有电话号码和用户名，无 workspace metadata
• 支持用户编辑/修正联系人信息",-
Type A 状态变更型,即时通讯 - Personal IM,Telegram,"Send Message
Send to Chat
Send to Channel","• Chat ID / Channel ID
• Username
• Phone Number (optional)
• Message Text
• Contact List","• GET /getMe 验证 Bot 状态
• GET /getUpdates 获取聊天列表
• POST /sendMessage 发送消息
• Context: Agent 需从对话识别收件人并匹配 Username/Chat ID
• 仅有 Username 和 Phone Number，无组织架构信息
• 支持检索和编辑联系人信息",-
Type A 状态变更型,日程管理,Google Calendar,"Create Event
Update Event
Send Invite","• Event Title
• Start/End Time
• Attendees List
• Calendar ID
• Description","• GET /calendars 获取日历列表
• POST /calendars/:id/events 创建事件
• Agent 需从对话提取时间、参与者信息",-
Type B 内容分发型,邮件工具,Gmail,"Draft Email
Send Email
Reply to Thread","• To (Email Address)
• Subject
• Email Body
• Thread ID (for replies)
• Attachments (optional)","• GET /messages/:id 获取原邮件（回复时）
• POST /messages/send 发送邮件
• GET /contacts 获取联系人（支持搜索）
• Context: Agent 需从对话识别收件人名称并补全邮箱",-
